Registrar,Enrolment Agency,State,District,Sub District,Pin Code,Gender,Age,Aadhaar generated,Enrolment Rejected,Residents providing email,Residents providing mobile number
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,F,10,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,F,13,2,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,F,15,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,F,28,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,F,33,0,1,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,F,38,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,F,45,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,F,59,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,M,3,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,M,5,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,M,6,3,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,M,7,0,1,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,M,8,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,M,10,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,M,17,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,M,20,2,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,M,55,0,1,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Barwani,451551,M,73,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Rajpur,451447,F,32,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Rajpur,451449,M,48,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Barwani,Thikri,451556,F,18,0,1,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Bhind,Lahar,477447,M,35,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Burhanpur,Burhanpur,450331,F,0,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Burhanpur,Burhanpur,450331,F,1,3,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Burhanpur,Burhanpur,450331,F,2,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Burhanpur,Burhanpur,450331,F,4,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Burhanpur,Burhanpur,450331,F,25,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Burhanpur,Burhanpur,450331,F,55,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Burhanpur,Burhanpur,450331,M,1,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Burhanpur,Burhanpur,450332,F,3,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Chhatarpur,Laundi,471525,F,44,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Chhatarpur,Nowgaon,471201,M,22,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Damoh,Damoh,470771,F,1,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Datia,Bhander,475335,F,36,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Datia,Bhander,475335,M,72,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Dewas,Bagli,455227,F,21,0,1,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Dewas,Dewas,455001,F,8,0,1,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Dewas,Dewas,455001,M,6,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Dewas,Dewas,455001,M,20,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Dewas,Dewas,455001,M,32,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Dewas,Dewas,455111,F,1,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Dewas,Dewas,455221,F,2,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Dewas,Dewas,455221,F,18,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Dewas,Dewas,455221,M,32,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Dewas,Khategaon,455227,F,4,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Dhar,Dhar,454001,M,2,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Dhar,Dhar,454001,M,6,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Dhar,Dhar,454001,M,20,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Dhar,Dhar,454773,M,3,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Dhar,Dhar,454775,F,2,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Dhar,Gandhwani,454446,F,4,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Guna,Raghogarh,473287,M,7,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Harda,Harda,461331,F,0,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Depalpur,453001,F,3,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Depalpur,454773,M,8,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,0,1,1,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,2,3,0,2,3
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,3,3,0,1,3
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,4,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,5,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,6,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,7,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,8,2,0,1,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,10,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,11,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,17,2,0,2,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,21,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,23,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,24,0,1,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,28,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,32,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,39,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,43,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,44,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,54,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,69,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,F,79,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,M,0,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,M,2,0,1,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,M,3,0,1,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,M,6,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,M,8,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,M,9,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,M,12,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,M,17,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,M,38,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452001,M,62,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,F,1,0,1,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,F,2,1,1,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,F,4,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,F,5,2,0,1,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,F,6,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,F,7,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,F,11,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,F,12,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,F,21,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,F,23,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,F,24,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,F,26,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,F,27,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,M,2,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,M,3,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,M,26,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452002,M,87,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,F,0,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,F,3,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,F,5,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,F,6,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,F,7,0,1,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,F,9,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,F,10,1,1,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,F,13,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,F,14,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,F,16,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,F,21,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,F,42,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,M,0,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,M,2,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,M,4,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,M,9,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,M,11,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,M,13,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,M,20,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,M,21,0,1,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,M,23,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,M,25,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452003,M,41,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,1,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,2,4,0,2,3
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,3,1,2,1,3
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,5,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,6,3,0,0,3
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,7,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,8,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,9,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,10,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,25,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,26,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,28,2,0,1,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,29,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,31,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,32,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,33,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,50,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,52,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,56,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,F,77,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,M,2,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,M,3,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,M,4,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,M,5,2,0,1,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,M,28,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,M,35,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,M,37,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452005,M,42,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452006,F,2,1,1,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452006,F,3,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452006,F,4,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452006,F,30,0,1,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452006,F,35,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452006,M,1,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452006,M,7,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452006,M,19,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452007,F,3,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452007,F,25,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452007,F,42,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452007,M,4,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452007,M,14,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452009,F,3,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452009,F,23,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452009,F,30,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452009,F,35,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452009,F,38,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452009,F,47,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452009,M,2,3,0,0,3
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452009,M,8,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452009,M,12,0,1,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,0,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,1,3,1,1,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,2,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,3,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,4,5,0,1,4
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,5,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,6,6,0,1,5
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,7,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,8,3,0,1,3
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,9,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,10,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,11,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,14,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,16,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,21,3,0,0,3
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,24,0,1,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,26,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,27,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,33,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,34,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,35,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,38,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,39,0,1,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,40,2,0,1,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,49,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,F,52,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,1,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,3,4,0,0,4
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,4,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,5,7,0,1,7
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,6,2,1,0,3
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,8,3,0,1,3
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,9,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,10,1,1,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,12,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,13,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,14,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,17,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,18,2,0,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,23,1,1,0,2
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,27,1,0,1,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,31,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,34,1,0,0,1
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,35,1,0,0,0
Bank Of India,OSWAL COMPUTERS & CONSULTANTS,Madhya Pradesh,Indore,Indore,452010,M,54,1,0,0,1
